Youtuber,subscribers,video views,uploads,category,Country,Abbreviation,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,Gross tertiary education enrollment (%),Unemployment rate,Population,Urban_population,created_year,average_yearly_earnings,average_monthly_earnings
T-Series,245000000,228000000000.0,20082,Music,India,IN,564600.0,9000000.0,6800000.0,108400000.0,28.1,5.36,1366417754.0,471031528.0,2006.0,57600000.0,4782300.0
YouTube Movies,170000000,0.0,1,Film & Animation,United States,US,0.0,0.05,0.04,0.58,88.2,14.7,328239523.0,270663028.0,2006.0,0.31,0.025
MrBeast,166000000,28368841870.0,741,Entertainment,United States,US,337000.0,5400000.0,4000000.0,64700000.0,88.2,14.7,328239523.0,270663028.0,2012.0,34350000.0,2868500.0
Cocomelon - Nursery Rhymes,162000000,164000000000.0,966,Education,United States,US,493800.0,7900000.0,5900000.0,94800000.0,88.2,14.7,328239523.0,270663028.0,2006.0,50350000.0,4196900.0
SET India,159000000,148000000000.0,116536,Shows,India,IN,455900.0,7300000.0,5500000.0,87500000.0,28.1,5.36,1366417754.0,471031528.0,2006.0,46500000.0,3877950.0
ýýý Kids Diana Show,112000000,93247040539.0,1111,People & Blogs,United States,US,182900.0,2900000.0,2200000.0,35100000.0,88.2,14.7,328239523.0,270663028.0,2015.0,18650000.0,1541450.0
PewDiePie,111000000,29058044447.0,4716,Gaming,Japan,JP,9800.0,156700.0,117600.0,1900000.0,63.2,2.29,126226568.0,115782416.0,2010.0,1008800.0,83250.0
Like Nastya,106000000,90479060027.0,493,People & Blogs,Russia,RU,12200.0,195800.0,146800.0,2300000.0,81.9,4.59,144373535.0,107683889.0,2016.0,1223400.0,104000.0
Vlad and Niki,98900000,77180169894.0,574,Entertainment,United States,US,145100.0,2300000.0,1700000.0,27900000.0,88.2,14.7,328239523.0,270663028.0,2018.0,14800000.0,1222550.0
Zee Music Company,96700000,57856289381.0,8548,Music,India,IN,200900.0,3200000.0,2400000.0,38600000.0,28.1,5.36,1366417754.0,471031528.0,2014.0,20500000.0,1700450.0
